id;Question
f9b894f6-2eee-46b8-bec9-1780b9e787d8;Hvem er forfatteren til bogen Enten - Eller?
e4d3d1da-20c2-4c98-94e0-a48dd4c90c41;I hvilket år blev bogen Enten - Eller udgivet?
9413b5fa-d763-4272-a44e-59057ac2daa3;Hvem er forfatteren af Enten-Eller?
5e684def-3e55-413c-94e0-f84234c653e2;Hvad er titlen på det andet brev fra assessor Wilhelm til forfatteren A, i Enten - Eller.?
2355e3d7-d41a-4e19-b276-4856206d65f5;Hvem er pseudonymet Victor Eremita?
179ad967-e0a7-4953-8de2-ce925d123733;I hvilket år blev filmen Babettes Gæstebud udgivet?
620880a6-abeb-43ea-a937-1bd8253fda82;Hvem spillede hovedrollen som Babette i filmen Babettes Gæstebud?
cdb800f1-e66f-40ed-80bb-df6aff8cb149;Hvad er navnet på den restaurant, hvor Babette arbejdede som kok i Paris, i Babettes Gæstebud?
575f30f5-d3e4-4d3a-b9fa-d5bd329ed293;Hvem instruerede og skrev manuskriptet til filmen Babettes Gæstebud?
c66a280d-e563-4e07-a7c5-0edbddd6cbb5;Hvad er navnet på den danske landsby, hvor filmen Babettes Gæstebud foregår?
57cfe2ef-ddd8-4c1a-b9ec-3b65f1c96471;Hvem er forfatteren til digtet Aften?
26dce655-0362-47a5-a5e3-ab92201a8e29;I hvilket år blev digtet Aften offentliggjort i Politiken?
3c33b60e-3e68-4877-b630-6411bef8ea86;Hvem satte musik til digtet Aften i 1915?
6b0b9363-0fa9-46d0-abee-32f95551a598;I hvilket år blev Aften indspillet af Pia Raug og Steve Dobrogosz på albummet Længsel?
8244c2ac-d75b-4afc-b06d-7af54abbe49f;Hvad er det folkelige navn for digtet Aften?
f9471b72-46dc-474f-ad3b-1d586a33cba6;I hvilket år blev Musens sang indspillet?
91f4701c-bdc3-457c-b0c2-208866bd449f;Hvem skrev teksten til Musens sang?
74371a2d-36df-4478-ad64-30ca431b2fbf;Hvem komponerede musikken til Musens sang?
511385b8-d63b-4b07-bf59-cd854398ed1a;Hvem fremførte Musens sang i filmen Mød mig på Cassiopeia?
70770f17-f3d8-4d22-b390-f22f11b38d4b;I hvilken film blev Musens sang brugt?
c0fe15cb-db31-469a-bf61-ab9bcdc7cbfd;Hvem skrev salmen 'Den signede dag'?
5915c734-4287-477a-b5e6-ac8c867a5298;Hvem komponerede melodien til 'Den signede dag'?
a8da24e0-c225-4176-93c1-ee91615f8928;I hvilket år blev salmen 'Den signede dag' skrevet?
42ab5b7a-7e02-4f66-972f-06cc1aa11b57;Hvor kan man bl.a. finde salmen 'Den signede dag'?
2d0ed370-9136-43e6-8691-e18a9a27f3da;Hvad er nummeret på salmen 'Den signede dag' i Den Danske Salmebog?
1b606e9e-acdf-46e4-8b32-8e7df106a737;I hvilket år havde Matador premiere på DR?
0239a491-fc87-405e-a4b1-2b0de54b1867;Hvem spillede rollen som Mads Skjern i Matador?
4e2207ee-cf1f-43ee-b87d-c40d5ad8af64;Hvem var hovedforfatter til Matador?
1c79a685-24eb-478e-85df-eecfaa2aae9b;Hvad hed den fiktive by, hvor serien foregår?
87c8f646-48eb-412e-87bd-f83ae28cad8a;Hvem komponerede temaet til Matador?
3f91b52e-3d96-4654-b28b-1f1fcd6570e5;Hvem sang 'Den allersidste dans' i filmen 'Mød mig på Cassiopeia' fra 1951?
0fb68440-d47a-4a7b-bceb-cb151845fb40;Hvem skrev musikken til 'Den allersidste dans'?
aff700f7-0b3e-4065-b45f-d8554fd2a7ec;I hvilket år blev 'Den allersidste dans' indspillet af Kim Larsen & Belami?
d01f7204-7e39-4904-aee9-ef2553104902;Hvem komponerede melodien til 'Den allersidste dans', som er en vals med en let melankolsk tone?
b2128bf0-a6ab-4cef-a7b8-57e628eed28a;Hvem skrev teksten til 'Den allersidste dans'?
fc189902-0903-4046-994b-b533b6b2cd2f;Hvem sang 'Solitudevej' i revyen 'Cirkus Ib' fra 1953?
e835c0af-d308-4c3e-8e4d-e5c507388c13;Hvem har skrevet teksten til 'Solitudevej'?
0faccf91-cbd3-4552-ba5d-79ff8b20cb85;Hvad er navnet på gaden, hvor Gertrude venter på Kaj i sangen 'Solitudevej'?
9ffa9d10-8c69-4fe0-a6ee-ea7aa99b8bc3;Hvem har komponeret musikken til 'Solitudevej'?
e2c80bea-a6aa-4deb-a47f-cf98a1579a3f;I hvilket år blev 'Solitudevej' indspillet?
ad28e7aa-9b66-4f13-a0a4-2386e425dc97;Hvem skrev sangen Dansevise?
5750fc6e-6d06-4fa2-92b7-1f9651f0124b;I hvilket år vandt Dansevise Eurovision Song Contest?
43235af1-0f65-4e58-9643-21a15734bdf8;Hvem sunget Dansevise ved Eurovision Song Contest i 1963?
556778e9-26b1-4e18-9e02-5bd9e7c03adb;Hvem akkompagnerede Grethe Ingmann på guitar ved Eurovision Song Contest i 1963?
874f4586-0c73-45dc-8e29-7022b9d99e1e;Hvad var navnet på den engelske version af Dansevise?
c622e68a-b422-4dc1-9c6f-88f90ad6e130;Hvem komponerede Symfoni nr. 3?
77718aaa-129b-4229-b7ef-3487f7bc30bf;Hvad er navnet på det orkester, der uropførte Symfoni nr. 3 i 1976?
5daf3cd0-9669-4f28-844e-bdbea57084fe;Hvor mange satser har Symfoni nr. 3 af Per Nørgård?
d4f08f15-0332-4a40-8134-2ec65016583d;Hvem dirigerede uropførelsen af Symfoni nr. 3 af Per Nørgård i 1976?
689d8118-4776-4636-b2e1-3e8eb4c8fdd5;I hvilket år blev Symfoni nr. 3 af Per Nørgård komponeret?
f9524833-83aa-4dca-b533-4e514c4961fb;I hvilket år blev Frederiksstaden påbegyndt?
d275a73a-0582-4773-a8f6-5545900fcf43;Hvem var hovedarkitekten bag Frederiksstaden?
54d8ef40-4867-455c-89f2-34ed0a341eb8;Hvad er navnet på den kirke, der er kendt som 'Marmorkirken' i Frederiksstaden?
8d03a63a-dcce-4d3e-b90e-92c3498e3518;I hvilket år blev rytterstatuen af Frederik V rejst i Frederiksstaden?
8f792ba6-6533-4ab0-97e6-d5816531e722;Hvem var kongen, der bestemte anlæggelsen af Frederiksstaden?
c4bd0915-8b74-4e7e-b97c-5993b96cfe71;Hvornår blev Solvognen fundet?
5faafffe-364e-4311-a8c6-6602b8311c5e;Hvor blev Solvognen fundet?
89fdce02-eb41-4a1a-a69f-0d4b2be3197c;Hvad er Solvognen lavet af?
3c6214c8-381f-411b-b577-73ae98cfeda2;Hvor er Solvognen i dag?
434131c8-8e5e-4308-a7d1-28b34afc83be;Hvad forestillede bronzealderens mennesker sig, at solen blev trukket over himlen af om dagen?
33936e6e-2c59-4dc1-80dc-94cb0ae9585e;I hvilket år blev sangen I dit korte liv lanceret i Dagmar Revyen?
79626b50-24af-4d7c-a4bc-63cfa6f30f6a;Hvem var komponisten bag sangen I dit korte liv?
2db8aaf2-c89b-4b59-83ad-6e1b6400f609;Hvem skrev teksten til sangen I dit korte liv?
bbe9bc26-7723-4c3c-9dd8-cc4e6eb4d214;Hvem fremførte sangen I dit korte liv i revyen i 1941?
0458f958-51f5-43e2-97a4-cd5d4f89e989;I hvilket år indspillede Kim Larsen & Kjukken sangen I dit korte liv?
83ea1851-afe9-4ee9-9cf9-f222e366b7d5;Hvem sang 'Danse i måneskin' ved Dansk Melodi Grand Prix 1987?
32425358-8800-4dcd-b4ab-fb0f2a20c770;Hvad var titlen på albummet med samme navn som sangen 'Danse i måneskin'?
0b9cf87a-08b8-4cf6-a9df-da39cc4d7324;Hvem var komponisten bag sangen 'Danse i måneskin'?
8ba1ec8c-de35-4ea8-acc9-2d2f03c446e7;I hvilket år blev sangen 'Danse i måneskin' udgivet?
d80ea57a-e317-427a-b83d-6304ddbba538;Hvem var tekstforfatteren til sangen 'Danse i måneskin'?
cbcab26c-6ca5-44a0-862f-aac2ecf47f66;I hvilket år blev Symfoni-Antifoni komponeret?
281ee6c5-92c3-48e0-9734-37009e2157ef;Hvad er navnet på komponisten bag Symfoni-Antifoni?
05b36ce1-436b-4f3c-99d9-2a896dc8edb8;Hvor mange satser indeholder Symfoni-Antifoni?
b53f490e-5cdb-415a-a362-7c2c14ce89ed;Hvad hedder den pris, som Symfoni-Antifoni modtog i 1980?
588b09ec-7b93-4698-839b-4e420cdafe26;I hvilket år blev Symfoni-Antifoni inkluderet i Kulturkanonen?
6eeffad3-77bc-4552-8a9c-d85722677e70;Hvem var kunstneren bag skulpturen 'Den lille Havfrue'?
b7237cc9-d3c3-4095-aacf-d8dcbb1f1ed8;Hvad er navnet på den gade, hvor skulpturen 'Den lille Havfrue' er placeret?
c28b0645-af03-4e6a-a4b7-97acf2ceb804;I hvilket år blev skulpturen 'Den lille Havfrue' opstillet?
3debd91d-127e-4e34-b29d-5f202947db36;Hvem skænkede skulpturen 'Den lille Havfrue' til København?
1bc07137-5938-4f47-917a-0b0b336370ad;Hvad er navnet på den danske forfatter, som skrev eventyret om Den lille Havfrue?
e602b42c-4757-4d78-afae-776af8a3d5ed;Hvor ligger Thorvald Bindesbølls Plads?
b5415e18-43ab-4cd2-a6f3-3212c1c57bb8;Hvad er navnet på den bevaringsværdige bygning på Thorvald Bindesbølls Plads?
7b237665-a280-4cc9-bceb-274285dd2cda;Hvad er navnet på parken nær Thorvald Bindesbølls Plads?
a74430b1-a715-4537-9257-d2a8502c2066;I hvilken by ligger Thorvald Bindesbølls Plads?
01e5e2f0-68c2-4eb2-8fe2-b444f56a92be;Hvilken bydel er Thorvald Bindesbølls Plads en del af?
2472e8e8-11bf-4f76-85ce-cffafbfcfa08;Hvem er forfatteren til skuespillet Anna Sophie Hedvig?
51c70b49-458d-43b4-ae14-63419039078a;I hvilket år havde skuespillet Anna Sophie Hedvig premiere på Det Kgl. Teater?
b803a7ba-60ac-4cb7-bb39-50fcf0680190;Hvem spillede titelrollen i skuespillet Anna Sophie Hedvig ved premieren?
ad57052a-ca45-4f57-a1b6-02eedb588a7d;Hvem var nogle af de medvirkende skuespillere i skuespillet Anna Sophie Hedvig ved premieren?
2c590d05-aca9-4ea0-8d3a-f91a51ca4aeb;Hvem instruerede TV-udgaven af Anna Sophie Hedvig fra 1974?
510980a5-f7bd-4dba-acf3-d0744cf1c163;Hvem var tekstforfatter til sangen 'Man binder os på mund og hånd'?
7a65a307-2236-4845-a706-bac70426725c;Hvad er navnet på revyen, hvor sangen 'Man binder os på mund og hånd' blev fremført i 1940?
1966d2e2-4172-4dff-b383-c1d097c258ef;Hvem komponerede melodien til sangen 'Man binder os på mund og hånd'?
c0c90a85-14d1-427d-9cbf-54693b655481;I hvilket år blev Danmark besat af Tyskland under 2. verdenskrig?
6753ca7c-6a00-480a-9b70-53af1aebda9c;Hvem var sangerinden, der fremførte sangen 'Man binder os på mund og hånd' i revyen 'Dyveke'?
523b6fe3-32c8-4733-ad53-8812b5ff0621;I hvilket år blev Paa Sneen udgivet?
2f78d29c-9c17-4341-a684-11af403f5a02;Hvem er forfatteren til digtet Paa Sneen?
43ec76ea-d327-4a6f-b370-acd60903484a;Hvad er navnet på samlingen, hvor Paa Sneen blev udgivet?
e2bcccaf-96d8-49d8-a880-3d4a829f992c;Hvor mange strofer består digtet Paa Sneen af?
6612bf1d-3ee5-4e8b-9567-eeab02aafbf6;Hvad er antallet af linjer i hver strofe i digtet Paa Sneen?
37810809-3e26-426d-a6d9-89def9a2a386;Hvad er En yndig og frydefuld sommertid også kendt som?
7ed728eb-83b0-4f1f-be31-9681578ea4a4;I hvilket år blev Danmarks Melodibog første bind udgivet?
4c887d4c-b497-4eab-b3ec-f62a6c410407;Hvad er navnet på den folkevise, der sammenfaldende melodier med En yndig og frydefuld sommertid?
d98afd97-5d2a-4f3f-bd29-8dd6d161bf90;I hvilket år blev en liste over de 100 populæreste sange fra Højskolesangbogen udgivet, hvor En yndig og frydefuld sommertid var inkluderet?
b5ec5d22-af0a-49fb-b0a4-ce55a8040537;Hvad er undertitlen på En yndig og frydefuld sommertid i Danmarks Melodibog første bind?
33264022-ef44-4db1-bdfd-8e7ee8f5d4d2;Hvem har skabt værket 'Jason med det gyldne skind'?
769fec84-bb6b-4f78-b2f1-0f5125978b19;I hvilket år blev statuen 'Jason med det gyldne skind' færdig i marmor?
f01a1a47-f3e4-4450-9146-fc52cea3e6b1;Hvem købte 'Jason med det gyldne skind' i marmor?
92d8ed93-9749-48d7-b61e-112218e9cdb1;Hvor høj er statuen 'Jason med det gyldne skind'?
10b811ff-2ac1-4c71-9a40-73c84581d1ec;Hvor er statuen 'Jason med det gyldne skind' opstillet?
69f8fa7c-e0f6-42b8-9b60-6c5391e4aa5f;I hvilket år blev Septembers himmel er så blå skrevet?
6e33d2c9-8bcd-47ae-a1f1-88b740403a93;Hvem skrev teksten til Septembers himmel er så blå?
6b36f4e1-3c26-45a6-9a03-b3442858a3f5;Hvem komponerede melodien til Septembers himmel er så blå?
18689be2-e227-44f0-9a57-f121ddd55674;Hvor blev Septembers himmel er så blå skrevet?
51841686-bd19-4cc2-bc0b-8400ffa0e6a5;Under hvilken titel præsenterede Danmarks Skoleradio Septembers himmel er så blå?
b69bfefe-2446-421a-beb7-45fa2290a1c5;Hvem designede Kevihjulet?
4ad13d6a-048c-40a6-b6cd-67b71e20849f;I hvilket år designede Jørgen Rasmussen Kevihjulet?
04aa6ab3-75d9-4cf7-a302-06c61231ad91;Hvad var navnet på kontorstolen, som Jørgen Rasmussen designede sammen med sin bror Ib?
fe941530-74a2-422d-8c88-37596ab9e20a;Hvad var det revolutionerende ved Kevihjulets design?
bfeaeccf-9136-4cfd-9590-73d2a508f147;Hvilken pris modtog Jørgen Rasmussen for opfindelsen af Kevihjulet?
d905ec36-6eb5-4563-80a7-f008b7d06777;Hvem har skrevet sangen Pige træd varsomt?
69118887-d1bf-42c4-bf13-2ca5db09650e;Hvem har komponeret melodien til Pige træd varsomt?
aacf3f71-998d-43d6-8fa9-af0382d4e8f8;I hvilket år blev sangen Pige træd varsomt første gang indspillet?
48b5124b-ac75-4638-af5a-0b2facb28694;Hvem var den oprindelige sangerinde, der fremførte Pige træd varsomt i Co-optimistrevyen i 1926?
4ab91478-f153-4d4e-9a1a-30220f2368b9;I hvilket år genbrugte Lulu Ziegler sangen Pige træd varsomt i revyen Slabang?
2e4c0ebc-a975-4081-a9ed-2d1e5fd954ed;Hvem komponerede 'Kjöbenhavns Jernbane-Damp-Galop'?
0cd60e17-f5a9-41cc-a43f-ea682800f333;I hvilket år blev 'Kjöbenhavns Jernbane-Damp-Galop' skrevet og offentliggjort?
a66c6e17-de36-4a38-924d-2aa883c12b42;Hvad var anledningen til kompositionen af 'Kjöbenhavns Jernbane-Damp-Galop'?
ad591f4e-20c6-4048-bd4a-dc2c0d032655;Hvad er et andet navn for 'Kjöbenhavns Jernbane-Damp-Galop'?
f501ddf1-1b4a-41e0-bd1c-d45bb2c7d200;Hvor lå den første banegård i København, som var åbnet i 1847?
f658e527-1a8e-42ac-bd0a-361f1843efa7;Hvem sang 'Gå med i lunden' i filmen Odds 777 fra 1932?
1266b27b-de3b-42f1-acf2-7d07b75ef9ce;Hvem har skrevet teksten til 'Gå med i lunden'?
b86e3da2-2cb9-4a5c-8db2-a4e5195705f4;Hvem har komponeret musikken til 'Gå med i lunden'?
e3de6f97-df3f-4d0c-87d8-129f87391db0;Hvad er navnet på den kunstner, der har indspillet 'Gå med i lunden' i 1995?
dcb157bf-ce9d-4c84-87af-988d33d2a757;Hvad er navnet på den kunstner, der har indspillet 'Gå med i lunden' i 2008?
45113071-e891-4187-99ef-5654ba6df6a7;Hvad er navnet på det syvende studiealbum af den danske popgruppe tv·2?
0f26bab6-723b-4ba1-8535-e62c368b5a5f;I hvilket år blev albummet 'Nærmest lykkelig' udgivet?
8a145a8c-a9ca-4f7b-b15d-59060626c358;Hvem er producerne bag albummet 'Nærmest lykkelig'?
9ded86f1-ab5a-4ca5-9c84-487751942e2c;Hvad er navnet på den første single fra albummet 'Nærmest lykkelig' af tv·2?
c0ad5323-de66-4100-b8c9-376ea34fc4a0;Hvor mange eksemplarer af albummet 'Nærmest lykkelig' er solgt?
252cc51b-f320-413c-9979-675f9971a5c7;Hvad er navnet på sangen, der er beskrevet i teksten?
ef0db4bf-f339-4a7f-82ff-c25a2756f3ad;Hvem har skrevet sangen 'Under bøgen'?
bcda21a9-997e-4924-a6eb-4c76f0a933d7;I hvilket år blev sangen 'Under bøgen' udgivet?
58ff02c8-15d4-4d31-afc9-19c775be4f32;Hvad er navnet på albummet, hvor sangen 'Under bøgen' er inkluderet?
82214025-9de2-440d-971f-d67f372d700a;Hvem er forsangeren på Gnags' originale indspilning af 'Under bøgen'?
3b740f36-aae4-4763-83cc-778aec506b52;I hvilket år blev digtet det underste land udgivet?
5c5bcaa8-4d9b-4984-901c-0f14aa7dc67f;Hvem er forfatteren bag digtet det underste land?
8e84980a-0f2f-4cae-a9cd-513b6c0da995;Hvad er undertitlen på digtet det underste land?
e308719b-7539-4771-ab4c-7e2cceb11e5a;I hvilket blad blev digtet det underste land trykt i 1934?
dfa06975-2460-4790-b60c-539ac3d74ec5;Hvad er navnet på den amerikanske forfatter, som nævnes i undertitlen på digtet det underste land?
7687f36b-8f7c-424a-8e5f-623c715d8ace;I hvilket år blev Dyrehaven oprettet?
2d3335cb-2e1d-4645-8986-2dceb56097b9;Hvad er navnet på den restaurant, der ligger i Dyrehaven og er kendt for sin traditionelle dansk mad?
700a12fa-b91f-49c2-911f-58c398624fc3;Hvad er navnet på den lille kilde, der ligger i Dyrehaven og er kendt for sit hellige vand?
66e64cf1-ff69-4eb1-b7c0-35965ce485bb;I hvilket år blev Eremitageslottet bygget?
b9afe5c8-e8a0-417c-91c3-0ca32ff0bcf9;Hvad er navnet på den årlige jagt, der afholdes i Dyrehaven?
01c682cb-3193-4d68-b2f7-b448b4c007c3;Hvem komponerede operaen 'Antikrist'?
5a819d6b-7c48-48a0-b3e4-fc467b36b490;Hvad er navnet på det teater, hvor 'Antikrist' blev uropført i 1999?
e14d398f-f435-49ae-84b8-d9ff015acf23;I hvilket år blev 'Antikrist' omarbejdet?
6617f89c-6a3d-41fb-aec6-f9dc4b46da1a;Hvad er navnet på den danske dirigent, der var initiativtager til opførelsen af 'Antikrist' i 1999?
94fb9ba6-cb03-4430-a221-f598a6c194ff;Hvad er navnet på det danske orkester, der opførte 'Antikrist' koncertant i 1980?
2a4982ba-7440-4fb5-92bb-92a9021c79e3;I hvilket år blev Kongens Fald udgivet?
97883f83-3740-41bd-9c5a-d536722702e9;Hvem var forfatteren til Kongens Fald?
e8fe0af3-0027-49e2-9308-f96ba59b4bf4;Hvad er navnet på den unge kvinde, som Mikkel Thøgersen forelsker sig i, i Kongens Fald?
7dee3943-e4b3-45eb-8934-f7fa0e5e3217;I hvilket år fik Christian 2. sin fangenskab på Sønderborg slot?
c41fdcff-a9d6-4872-a7ea-eb250139dde9;Hvem var den danske konge, som blev slået i Slaget ved Hemmingstedt?
84ecef4c-0deb-449a-adc3-eec15bd31fc4;Hvad var Marie Gudme Leths nationalitet?
08f9c14e-7af1-4a54-a766-49c4d46af5d6;Hvornår blev Marie Gudme Leth født?
f8fafa52-2ae8-41a2-9bc7-033ad0796846;Hvor blev Marie Gudme Leth uddannet?
a061eb70-573a-4073-894d-f60ed355aa93;Hvad var navnet på Marie Gudme Leths eget værksted?
063dd0e7-f392-44a9-bcb4-0bd21634b9a9;Hvornår døde Marie Gudme Leth?
ea65fa46-9d4c-4f73-851c-4f956a243c07;I hvilket år blev albummet Svantes viser udgivet?
4fe04392-7588-4aa8-8919-2a6d3c08c6c8;Hvem var produceren bag albummet Svantes viser?
87fd0e80-f4c4-469e-ae6c-c4772c0cc6d5;Hvad er navnet på den fiktive person, som Benny Andersen hævder at have mødt i 1946, i Svantes Viser?
aa5cb09b-e8dc-4d1a-ab2c-db713b06f080;Hvilket instrument spillede Benny Andersen på albummet Svantes viser?
73c7931e-b578-4310-ab7d-ed9a0afd8ea3;Hvem sang Svantes lykkelige dag i filmen Da Svante forsvandt?
04abb2b9-4090-4052-939b-4ed4671e8bb4;Hvad er navnet på den kendte boligbebyggelse, der ligger på Østerbro i København? Den starter med B
ca1c3212-2ff1-4803-9952-768cc4b6ff48;Hvem var arkitekten bag Brumleby?
dbc5a995-a29a-4de6-b5ad-6757ed82353f;Hvad var navnet på den første brugsforening i København, der blev stiftet i Brumleby i 1868?
42b78001-fea0-4c58-8875-ce7cac47b6cd;Hvem boede i Brumleby i perioden 1872-1877?
bc1ebe87-7b27-445e-a657-7ac1ff3b613d;Hvad var oprindelsen til navnet 'Brumleby'?
44d6150c-20a0-4f2b-9ef8-caea12b0fe3d;Hvem skrev digtet Hakon Jarls Død eller Christendommens Indførsel i Norge?
b2b9af04-04f0-415e-bf02-1b6551b347df;I hvilket år blev digtsamlingen Digte 1803 udgivet?
c24e510a-1458-4f03-922a-4df9ca87efbb;Hvilken litterær periode indvarslede digtsamlingen "Digte 1803"?
63d724d5-9ba8-4f5f-8bac-8173555a9cc1;Hvad var navnet på kongen, der overdrog kongemagten i Norge til Håkon?
273ab95a-c67f-4bdd-99a5-7830cdd0cabf;Hvem deltog i oprøret, der resulterede i Håkons død?
57e76560-4b3e-42ee-b238-a011a88f04b0;Hvem er forfatteren til digtet Jeg hører i Natten den vuggende Lyd?
81d9f51c-2729-49c4-aef5-e5a78159a917;I hvilket år blev digtet Jeg hører i Natten den vuggende Lyd skrevet?
af1979ca-7be2-4c5b-8ad1-85b0ea407b64;Hvad er navnet på den kvinde, som Holger Drachmann opfatter som eventyrfiguren Snehvide i digtet?
c1cd9409-ce4e-4753-b7ca-59852b471d73;Hvor mange strofer indeholder digtet Jeg hører i Natten den vuggende Lyd?
743c6081-937b-449a-87d4-a1c1a59798ec;Hvad er navnet på den by, som Holger Drachmann besøgte i 1876, og som inspirerede ham til at skrive digtet?
75f10214-4e85-4aaa-b413-2715af6527af;I hvilket år blev sangen Titte til hinanden indspillet?
2eb52355-912e-402a-b5c6-1c45b2f30f39;Hvem sang Titte til hinanden i filmen Skal vi vædde en million??
dd8e3bd7-5b67-4821-89a5-2e52381358d2;Hvem komponerede melodien til Titte til hinanden?
2846d2e2-a939-42e9-ac90-96e014f73f28;Hvad er navnet på den film, hvor Titte til hinanden blev sunget?
b70d339f-ce77-4b41-bd7b-4c1e6cb14003;Hvem skrev teksten til Titte til hinanden?
3563c24c-f1e4-4b91-a6cb-c1d05a4ca518;I hvilket år blev digtsamlingen Sjov i Danmark, eller som man ser det – satirisk sangværk udgivet?
961a308c-938a-4826-bc36-996cbe3243da;Hvem er forfatteren til digtet Læren om staten?
9e50ffba-cee9-4e93-ac98-cf0a32d74203;Hvor mange strofer består digtet Læren om staten af?
7b634bef-5dda-42ea-9742-cfcdd185a452;I hvilken by studerede Jens August Schade statskundskab?
040b5bd1-3869-49d7-8388-696c30a1b7f9;Hvad er navnet på det forlag, der udgav digtsamlingen Sjov i Danmark, eller som man ser det – satirisk sangværk?
82a098e8-8dd2-4851-8691-05b1865a9760;Hvor lå Gedsermøllen?
b221c6c9-46dd-49c3-91f2-b19cf3b0687c;I hvilket år blev Gedsermøllen opstillet?
80f947ce-90ce-4fdb-a106-ae6943e426a9;Hvem designede Gedsermøllen?
a01289b4-7b67-48dd-803e-9fbb41be915b;Hvad var Gedsermøllens status på opstillingstidspunktet?
7303208c-1e54-4205-8243-b5365d4b1af8;I hvilket år stoppede en gearkassehavari Gedsermøllen?
ba18e12c-e7bf-49c0-9407-8f27df1bc8fa;I hvilket år blev rytterstatuen af Frederik V indviet?
96c63c8f-4b4c-43f9-94c7-62bd8e481cf0;Hvem designede rytterstatuen af Frederik V?
298ec706-c35a-433d-b385-f3a78dba1992;Hvor lang tid tog det at fuldføre rytterstatuen af Frederik V?
e14f9df3-1445-4224-a863-874f1896b600;Hvad var vægten af rytterstatuen af Frederik V?
e8b20c70-1691-45e1-a30e-009ffffc6274;Hvem var den kronprins, der bemærkede, at hans far var blevet alt for stor i forhold til hesten på rytterstatuen?
769deb42-f044-4be3-abaf-2010debbe72b;I hvilket år blev digtsamlingen Violinbyggernes by udgivet?
0c8009a7-8e75-4741-8cc5-3fe37bc0fc3d;Hvem er forfatteren til digtsamlingen Violinbyggernes by?
beddc74d-3374-47f3-83b0-0c31f605fc6b;Hvilket forlag udgav digtet i 1985?
9573e251-b0d1-4cff-ac33-f137fc65e0c4;Hvor mange linjer består digtet Violinbyggernes by af?
e63f3959-986a-445d-844c-b02bcd13717e;Hvor mange strofer består digtet af?
53bf654c-4fa2-4cdd-9101-4b4475202f76;Hvad er navnet på filmens Alle går rundt og forelsker sig titlesang?
39c0d0c9-1673-447f-b873-38a5ba563039;Hvem instruerede filmen 'Alle går rundt og forelsker sig'?
1fcc7608-94e0-4f31-a78b-c6069784bf82;Hvem skrev manuskriptet til filmen 'Alle går rundt og forelsker sig'?
02f9a696-497f-4b06-ada2-c45da26c00e2;Hvad er navnet på den kvinde, der spiller hovedrollen i filmen 'Alle går rundt og forelsker sig'?
18d9395d-98db-4df9-b874-84666f3071d9;Hvornår havde filmen 'Alle går rundt og forelsker sig' premiere?
88fbb01d-f519-46e5-b63e-77851c2e5ed4;Hvem instruerede og skrev manuskriptet til filmen 'Soldaten og Jenny'?
59fdae93-ba74-43eb-b875-a3d33ac647e5;Hvad er navnet på den kvinde, der spiller hovedrollen som Jenny i filmen 'Soldaten og Jenny'?
f6679b42-57f2-483c-bb5d-450f2c50bbe5;I hvilket år modtog filmen 'Soldaten og Jenny' Bodilprisen for bedste danske film?
