id;Answer
645;Peter B. Jensen
646;Thomas Helmig
647;1978
648;Jørgen Møller
649;Two Candles
650;1942
651;Gustaf Dahl
652;Salmebog 1938
653;461
654;Carl Nielsen
655;1979
656;Lars Vissing
657;Kim Larsen.
658;2004
19;Error
660;Carl Nielsen
661;Maskarade
662;Friedrich Wilhelm Gotter
663;1920
664;Der wahren Liebe Schönes
665;August Bournonville.
6;Error
667;1836
668;Hanne Nielsen
669;Det Kongelige Teater i København.
670;1889-1890
11;Error
672;Statens Museum for Kunst.
673;Det Store Relief flyttede til Willumsens Museum på Frederiksholms Kanal.
674;Nationalbanken
675;1944
676;Chopin.
677;Peter Martins
678;Claude Debussy.
679;1864
0;Error
681;Kurt Ravn
682;1978
683;1978
684;Det er et land
685;2016
686;Kirsten
687;Lars Sidenius og Lilly Sidenius.
688;1855
9;Error
690;Under stjernerne
691;1937
692;Peter
693;Tyskland
694;Det sidste glimt
695;1947
696;Oluf Ring
697;Stig
698;Johan Peter Emilius Hartmann
699;Det Kongelige Teater
0;Error
701;2008
702;Peter Dam og Morten Nielsen
703;Stjerne til støv
704;45.000 eksemplarer
5;Error
706;Melodien hedder “Den yndigste rose”.
707;1886
708;12 vers
709;P. J. Nielsen
710;Denmark
711;Sønderborg Idrætscenter.
712;Sverige
713;Møller & Co Arkitekter.
714;Glasfiber.
715;2011
716;Mikkel Møller
717;Lise
718;Bjarne Thomsen
719;Kirsten
720;Morten Mortensen og 78’er.
721;Danmark
722;Pop
723;1978
724;Mega Records
725;1928
726;Hovedbygningen.
727;Dr. Morten Pedersen
728;33.000 studerende
729;1937
10;Error
731;1,27 m
732;1814
733;Søren R. Jensen
734;250 cm
15;Error
736;1976
737;Pop
18;Error
739;3:35
740;1942
1;Error
742;Københavns Rådhusplads.
743;Carl Theodor Dreyer.
744;Carl Theodor Dreyer
